,time_backstep,weather_condition,weather_date,weather_feels,weather_humid,weather_precip,weather_temp,weather_time,weather_wind
0,1.0,Sunny,Mon,55,22,0,56,4:00 pm,6
1,2.0,Sunny,Mon,56,21,0,57,5:00 pm,6
2,3.0,Mostly Sunny,Mon,56,21,0,57,6:00 pm,6
3,4.0,Sunny,Mon,55,23,0,56,7:00 pm,5
4,5.0,Clear,Mon,52,29,0,53,8:00 pm,4
5,6.0,Clear,Mon,49,32,0,50,9:00 pm,4
6,7.0,Mostly Clear,Mon,47,33,0,48,10:00 pm,5
7,8.0,Partly Cloudy,Mon,45,36,0,47,11:00 pm,4
8,9.0,Partly Cloudy,Tue,44,40,0,46,12:00 am,4
9,10.0,Partly Cloudy,Tue,42,44,0,44,1:00 am,4
10,11.0,Cloudy,Tue,41,48,0,44,2:00 am,4
11,12.0,Cloudy,Tue,40,50,0,43,3:00 am,5
12,13.0,Cloudy,Tue,39,53,10,42,4:00 am,5
13,14.0,Light Rain,Tue,37,60,60,41,5:00 am,6
14,15.0,Light Rain,Tue,34,67,60,39,6:00 am,7
15,1.0,Sunny,Mon,57,20,0,58,5:00 pm,7
16,2.0,Sunny,Mon,57,20,0,58,6:00 pm,7
17,3.0,Sunny,Mon,56,21,0,57,7:00 pm,5
18,4.0,Clear,Mon,52,29,0,53,8:00 pm,4
19,5.0,Clear,Mon,49,32,0,50,9:00 pm,4
20,6.0,Mostly Clear,Mon,46,34,0,48,10:00 pm,5
21,7.0,Partly Cloudy,Mon,45,36,0,47,11:00 pm,4
22,8.0,Partly Cloudy,Tue,44,40,0,46,12:00 am,4
23,9.0,Partly Cloudy,Tue,42,44,0,44,1:00 am,4
24,10.0,Cloudy,Tue,41,48,0,44,2:00 am,4
25,11.0,Cloudy,Tue,40,50,0,43,3:00 am,5
26,12.0,Cloudy,Tue,39,53,10,42,4:00 am,5
27,13.0,Light Rain,Tue,37,60,60,41,5:00 am,6
28,14.0,Light Rain,Tue,34,67,60,39,6:00 am,7
29,15.0,Showers,Tue,33,75,50,38,7:00 am,6
30,1.0,Sunny,Mon,57,18,0,58,6:00 pm,8
31,2.0,Sunny,Mon,55,20,0,57,7:00 pm,7
32,3.0,Clear,Mon,52,26,0,53,8:00 pm,6
33,4.0,Clear,Mon,49,32,0,50,9:00 pm,4
34,5.0,Mostly Clear,Mon,46,35,0,48,10:00 pm,5
35,6.0,Partly Cloudy,Mon,45,38,0,47,11:00 pm,5
36,7.0,Partly Cloudy,Tue,44,40,0,46,12:00 am,4
37,8.0,Partly Cloudy,Tue,42,44,0,44,1:00 am,4
38,9.0,Cloudy,Tue,42,48,0,44,2:00 am,4
39,10.0,Cloudy,Tue,40,51,0,43,3:00 am,5
40,11.0,Cloudy,Tue,39,52,10,43,4:00 am,5
41,12.0,Showers,Tue,38,59,60,41,5:00 am,6
42,13.0,Light Rain,Tue,34,67,60,39,6:00 am,7
43,14.0,Showers,Tue,33,76,55,38,7:00 am,6
44,15.0,Showers,Tue,32,79,35,38,8:00 am,7
45,1.0,Sunny,Mon,56,21,0,57,7:00 pm,5
46,2.0,Clear,Mon,53,25,0,54,8:00 pm,4
